id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
10,"['次', '必', '须', '全', '五', '分', '太', '完', '美', '整', '餐', '体', '验', '相', '棒', '口', '味', '菜', '品', '做', '都', '很', '干', '净', '图', '真', '相', '都', '手', '拍', '鸡', '汁', '萝', '卜', '太', '鲜', '美', '份', '量', '点', '少', '下', '次', '人', '吃', '份', '牛', '腱', '菜', '花', '很', '惊', '艳', '已', '吃', '腻', '猪', '肉', '试', '试', '牛', '肉', '非', '常', '好', '吃', '带', '孩', '子', '还', '送', '小', '米', '粥', '里', '小', '米', '粥', '熬', '很', '好', '很', '够', '火', '候', '雪', '菜', '豆', '腐', '很', '不', '错', '豆', '豉', '蒸', '芥', '菜', '孩', '子', '喜', '欢', '吃', '环', '境', '西', '湖', '春', '天', '万', '象', '城', '店', '环', '境', '很', '喜', '欢', '然', '开', '商', '场', '里', '面', '感', '觉', '很', '好', '不', '吵', '闹', '很', '清', '净', '服', '务', '服', '务', '员', '都', '不', '错', '次', '男', '服', '务', '员', '直', '很', '耐', '心', '推', '荐', '人', '均', '不', '点', '螃', '蟹', '话', '元', '家', '店', '次', '带', '孩', '子', '十', '八', '九', '选', '择']",-2,1,-2,-2,1,-2,-2,0,-2,-2,-2,1,-2,1,-1,1,-2,-2,1,1
11,"['突', '然', '特', '想', '吃', '点', '重', '口', '味', '老', '公', '商', '量', '去', '吃', '辣', '府', '前', '都', '不', '太', '敢', '吃', '辣', '没', '想', '不', '周', '末', '都', '排', '队', '家', '菜', '品', '都', '很', '新', '鲜', '特', '家', '蛋', '饺', '里', '面', '包', '肉', '里', '好', '加', '蹄', '莲', '嚼', '特', '脆', '非', '常', '推', '荐', '蟹', '肉', '棒', '量', '很', '惜', '不', '半', '份', '两', '人', '吃', '点', '羔', '羊', '肉', '喜', '欢', '偏', '肥', '还', '说', '锅', '底', '点', '鸳', '鸯', '清', '汤', '锅', '里', '料', '特', '丰', '富', '猪', '肚', '鸡', '莴', '笋', '木', '耳', '很', '鲜', '很', '鲜', '最', '后', '买', '单', '还', '优', '惠', '两', '人', '吃', '很', '满', '足']",-2,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,1,1,1,1,1,-2
12,"['闺', '蜜', '相', '约', '欧', '亚', '达', '鱼', '酷', '三', '人', '竟', '然', '喜', '欢', '不', '口', '味', '最', '后', '只', '放', '弃', '最', '爱', '黄', '金', '酸', '辣', '吃', '油', '泼', '香', '辣', '口', '味', '前', '觉', '口', '味', '般', '没', '黄', '金', '酸', '辣', '酸', '爽', '惊', '艳', '感', '不', '次', '吃', '感', '觉', '不', '错', '鱼', '烤', '特', '好', '味', '道', '很', '香', '滑', '非', '常', '好', '吃', '香', '辣', '口', '味', '满', '满', '都', '辣', '椒', '视', '觉', '感', '觉', '特', '辣', '辣', '度', '只', '微', '辣', '水', '平', '吃', '不', '很', '辣', '不', '特', '吃', '辣', '希', '点', '微', '辣', '口', '味', '朋', '友', '说', '不', '错', '选', '择', '看', '名', '字', '知', '道', '鱼', '酷', '粉', '欧', '亚', '达', '开', '业', '前', '去', '前', '大', '成', '店', '基', '上', '都', '座', '现', '空', '间', '大', '些', '点', '基', '没', '座', '挺', '好', '下', '次', '还', '会', '家', '便', '逛', '逛', '现', '口', '味', '都', '折', '蛮', '合', '适', '大', '家', '选', '择']",-2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1,1
13,"['很', '棒', '次', '助', '体', '验', '前', '团', '好', '券', '直', '延', '期', '直', '推', '今', '天', '才', '吃', '址', '火', '车', '站', '附', '近', '十', '字', '路', '口', '修', '铁', '些', '不', '太', '好', '马', '路', '很', '迷', '茫', '不', '很', '显', '眼', '太', '阳', '宫', '环', '境', '酒', '店', '进', '去', '后', '下', '负', '层', '很', '棒', '环', '境', '超', '级', '高', '大', '上', '里', '面', '特', '大', '东', '西', '很', '方', '便', '服', '务', '先', '验', '券', '定', '桌', '子', '然', '后', '筷', '子', '进', '去', '后', '找', '桌', '子', '开', '始', '周', '内', '中', '午', '去', '人', '不', '很', '感', '觉', '还', '不', '错', '口', '味', '类', '真', '超', '级', '什', '都', '海', '鲜', '三', '文', '鱼', '扇', '贝', '铁', '板', '鱿', '鱼', '寿', '司', '蛋', '糕', '点', '心', '沙', '拉', '烧', '烤', '火', '锅', '不', '实', '吃', '不', '少', '类', '太', '然', '后', '海', '鲜', '三', '文', '鱼', '都', '不', '取', '问', '厨', '师', '不', '很', '好', '体', '会', '前', '团', '还', '很', '超', '值', '满', '意']",1,-2,1,-2,1,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,-2,1,-2
14,"['星', '园', '后', '门', '街', '铺', '面', '家', '粉', '店', '排', '五', '角', '星', '螺', '丝', '粉', '人', '气', '足', '最', '左', '家', '缘', '滋', '味', '美', '食', '馆', '工', '作', '人', '员', '看', '招', '牌', '见', '平', '时', '中', '生', '料', '煮', '粉', '进', '店', '漂', '亮', '老', '板', '娘', '很', '热', '情', '还', '说', '免', '费', '鲜', '榨', '热', '豆', '浆', '便', '喝', '进', '门', '处', '还', '夜', '光', '笔', '写', '小', '招', '牌', '上', '只', '不', '很', '明', '显', '点', '单', '排', '号', '处', '放', '置', '豆', '浆', '桶', '煮', '粉', '途', '中', '纸', '杯', '装', '豆', '浆', '感', '觉', '些', '酸', '然', '口', '感', '浓', '郁', '老', '板', '娘', '说', '大', '早', '才', '鲜', '榨', '还', '觉', '味', '道', '不', '很', '快', '煮', '好', '粉', '吃', '粉', '途', '中', '终', '空', '荡', '荡', '餐', '厅', '中', '人', '餐', '厅', '很', '大', '灯', '光', '稍', '暗', '丢', '丢', '生', '料', '粉', '汤', '色', '奶', '白', '很', '入', '味', '肉', '猪', '杂', '类', '还', '好', '鹌', '鹑', '蛋', '食', '材', '新', '鲜', '粉', '呈', '透', '明', '状', '还', '不', '错', '早', '上', '点', '空', '调', '没', '开', '然', '开', '风', '扇', '还', '觉', '好', '热']",-2,-2,-1,-2,1,-2,-2,-2,-2,-2,0,-2,1,-2,-2,0,1,-2,0,-2
15,"['二', '次', '吃', '里', '价', '廉', '物', '美', '老', '公', '坚', '持', '带', '全', '家', '人', '再', '吃', '次', '次', '包', '房', '貌', '似', '没', '最', '低', '消', '费', '限', '制', '茶', '大', '麦', '茶', '宝', '宝', '喝', '冷', '菜', '没', '点', '只', '酱', '花', '生', '味', '道', '不', '错', '咸', '点', '炖', '蛋', '必', '点', '宝', '宝', '下', '饭', '利', '器', '片', '皮', '鸭', '点', '久', '味', '道', '还', '行', '鸭', '架', '子', '泡', '饭', '汤', '不', '错', '鸭', '子', '点', '老', '红', '烧', '肉', '味', '道', '还', '行', '肉', '皮', '味', '道', '不', '错', '笋', '干', '点', '老', '点', '鲜', '味', '菜', '都', '没', '什', '印', '象', '服', '务', '员', '态', '度', '还', '不', '错', '包', '房', '里', '卫', '生', '间', '挺', '干', '净', '最', '后', '结', '账', '交', '行', '信', '卡', '折', '平', '均', '下', '才', '人', '均', '实', '便', '宜', '太', '仓', '朋', '友', '果', '举', '家', '游', '玩', '推', '荐', '吃', '下']",-2,-2,-2,-2,1,-2,-1,1,1,0,-2,-2,-2,1,-2,0,-2,-2,1,1
16,"['很', '感', '谢', '大', '众', '点', '评', '网', '店', '家', '举', '办', '次', '试', '吃', '活', '动', '结', '识', '很', '新', '朋', '友', '很', '开', '心', '菜', '品', '味', '道', '很', '好', '人', '喜', '欢', '辣', '炒', '蛏', '子', '蛏', '子', '味', '道', '很', '鲜', '美', '辣', '味', '适', '中', '不', '错', '熏', '排', '骨', '特', '实', '惠', '排', '骨', '都', '超', '大', '块', '肉', '很', '很', '好', '吃', '蒜', '蓉', '蒸', '扇', '贝', '很', '棒', '扇', '贝', '肉', '很', '大', '很', '美', '味', '清', '蒸', '宝', '肉', '质', '很', '细', '腻', '人', '喜', '欢', '盐', '水', '虾', '最', '爱', '虾', '很', '大', '只', '很', '入', '味', '孜', '然', '大', '泥', '鳅', '特', '色', '菜', '次', '吃', '味', '道', '很', '想', '烤', '鱼', '亮', '点', '还', '大', '爱', '炉', '肉', '包', '超', '大', '馅', '料', '很', '满', '味', '道', '很', '好', '开', '始', '口', '爱', '上', '三', '味', '鸡', '卷', '很', '好', '吃', '很', '特', '色', '三', '鲜', '达', '汤', '料', '很', '足', '干', '锅', '菜', '花', '做', '很', '不', '错', '还', '二', '哥', '煮', '杂', '鱼', '虾', '酱', '卷', '子', '很', '农', '家', '总', '体', '很', '棒', '店', '家', '量', '很', '大', '很', '实', '惠', '吃', '舒', '服', '开', '心', '家', '店', '门', '口', '公', '交', '站', '路', '路', '交', '通', '方', '便']",1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,1,-2
17,"['次', '抽', '中', '免', '费', '试', '吃', '活', '动', '还', '点', '紧', '张', '达', '店', '里', '发', '现', '参', '加', '位', '美', '女', '瞬', '间', '亲', '近', '感', '下', '面', '说', '说', '试', '吃', '感', '觉', 'N', '环', '境', '标', '准', '铁', '板', '烧', '装', '备', '水', '果', '沙', '拉', '助', '区', '水', '果', '蔬', '菜', '都', '很', '新', '鲜', '布', '列', '塔', '尼', '海', '鲜', '汤', '很', '鲜', '甜', '最', '大', '亮', '点', '家', '牛', '排', '超', '级', '大', '很', '嫩', '味', '道', '远', '超', '些', '专', '做', '牛', '排', '餐', '厅', '达', '星', '级', '饭', '店', '标', '准', '蛋', '炒', '饭', '中', '加', '蟹', '子', '虾', '仁', '更', '加', '鲜', '美', '家', '菜', '品', '都', '很', '清', '淡', '喜', '欢', '说', '不', '加', '鸡', '精', '味', '精', '很', '健', '康', '样', '牛', '排', '羊', '排', '套', '餐', '才', '百', '元', '左', '右', '性', '价', '很', '高', '值', '去', '餐', '厅']",-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,-2,-2,1,1
18,"['假', '期', '外', '朋', '友', '青', '岛', '带', '吃', '道', '海', '鲜', '下', '火', '车', '真', '奔', '翠', '华', '家', '位', '置', '近', '火', '车', '站', '很', '方', '便', '两', '天', '人', '正', '上', '假', '日', '人', '门', '面', '不', '很', '大', '很', '干', '净', '菜', '品', '海', '鲜', '主', '红', '烧', '鲍', '鱼', '新', '鲜', '鲍', '鱼', '红', '烧', '做', '法', '相', '好', '吃', '蒜', '蓉', '生', '蚝', '海', '蛎', '子', '相', '肥', '份', '量', '不', '少', '蒜', '蓉', '做', '法', '不', '失', '海', '蛎', '子', '鲜', '嫩', '辣', '炒', '蛤', '蜊', '辣', '鲜', '爽', '朋', '友', '都', '说', '好', '吃', '清', '蒸', '梭', '子', '蟹', '正', '大', '螃', '蟹', '肥', '时', '候', '清', '蒸', '满', '口', '活', '相', '力', '海', '鲜', '特', '色', '朋', '友', '喝', '扎', '啤', '很', '愉', '快', '时', '光']",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,1,1,-2,-2,1,-2
19,"['位', '置', '工', '农', '村', '姚', '家', '菜', '旁', '旁', '天', '路', '走', '都', '面', '看', '走', '太', '匆', '忙', '店', '铺', '片', '忘', '记', '口', '味', '还', '不', '错', '貌', '似', '口', '味', '吃', '俩', '俩', '口', '味', '都', '不', '样', '里', '面', '菠', '萝', '还', '什', '外', '葡', '萄', '干', '真', '实', '果', '粒', '看', '见', '吃', '特', '脆', '特', '香', '团', '购', '特', '划', '算', '里', '面', '真', '材', '实', '料', '老', '板', '舍', '放', '佐', '料', '还', '不', '错', '团', '购', '态', '度', '不', '糟', '糕', '类', '型', '唯', '点', '诧', '异', '装', '好', '后', '不', '放', '装', '东', '西', '时', '候', '放', '柜', '子', '上', '放', '去', '拎']",-2,-2,1,-2,0,-2,-2,-2,1,0,-2,-2,-2,-2,-2,1,1,-2,1,-2
